,0,1,2,3
0,4.9,3.1,1.5,0.1
1,5.0,3.2,1.2,0.2
2,5.5,3.5,1.3,0.2
3,4.9,3.1,1.5,0.1
4,4.4,3.0,1.3,0.2
5,5.1,3.4,1.5,0.2
6,5.0,3.5,1.3,0.3
7,4.5,2.3,1.3,0.3
8,4.4,3.2,1.3,0.2
9,5.0,3.5,1.6,0.6
10,5.1,3.8,1.9,0.4
11,4.8,3.0,1.4,0.3
12,5.1,3.8,1.6,0.2
13,4.6,3.2,1.4,0.2
14,5.3,3.7,1.5,0.2
15,5.0,3.3,1.4,0.2
16,5.4,3.0,4.5,1.5
17,6.0,3.4,4.5,1.6
18,6.7,3.1,4.7,1.5
19,6.3,2.3,4.4,1.3
20,5.6,3.0,4.1,1.3
21,5.5,2.5,4.0,1.3
22,5.5,2.6,4.4,1.2
23,6.1,3.0,4.6,1.4
24,5.8,2.6,4.0,1.2
25,5.0,2.3,3.3,1.0
26,5.6,2.7,4.2,1.3
27,5.7,3.0,4.2,1.2
28,5.7,2.9,4.2,1.3
29,6.2,2.9,4.3,1.3
30,5.1,2.5,3.0,1.1
31,5.7,2.8,4.1,1.3
32,6.1,2.6,5.6,1.4
33,7.7,3.0,6.1,2.3
34,6.3,3.4,5.6,2.4
35,6.4,3.1,5.5,1.8
36,6.0,3.0,4.8,1.8
37,6.9,3.1,5.4,2.1
38,6.7,3.1,5.6,2.4
39,6.9,3.1,5.1,2.3
40,5.8,2.7,5.1,1.9
41,6.8,3.2,5.9,2.3
42,6.7,3.3,5.7,2.5
43,6.7,3.0,5.2,2.3
44,6.3,2.5,5.0,1.9
45,6.5,3.0,5.2,2.0
46,6.2,3.4,5.4,2.3
47,5.9,3.0,5.1,1.8
