,0,1,2,3
0,5.1,3.5,1.4,0.2
1,4.9,3.0,1.4,0.2
2,4.7,3.2,1.3,0.2
3,4.6,3.1,1.5,0.2
4,5.0,3.6,1.4,0.2
5,5.4,3.9,1.7,0.4
6,4.6,3.4,1.4,0.3
7,5.0,3.4,1.5,0.2
8,4.4,2.9,1.4,0.2
9,4.9,3.1,1.5,0.1
10,5.4,3.7,1.5,0.2
11,4.8,3.4,1.6,0.2
12,4.8,3.0,1.4,0.1
13,4.3,3.0,1.1,0.1
14,5.8,4.0,1.2,0.2
15,5.7,4.4,1.5,0.4
16,5.4,3.9,1.3,0.4
17,5.1,3.5,1.4,0.3
18,5.7,3.8,1.7,0.3
19,5.1,3.8,1.5,0.3
20,5.4,3.4,1.7,0.2
21,5.1,3.7,1.5,0.4
22,4.6,3.6,1.0,0.2
23,5.1,3.3,1.7,0.5
24,4.8,3.4,1.9,0.2
25,5.0,3.0,1.6,0.2
26,5.0,3.4,1.6,0.4
27,5.2,3.5,1.5,0.2
28,5.2,3.4,1.4,0.2
29,4.7,3.2,1.6,0.2
30,4.8,3.1,1.6,0.2
31,5.4,3.4,1.5,0.4
32,5.2,4.1,1.5,0.1
33,5.5,4.2,1.4,0.2
34,7.0,3.2,4.7,1.4
35,6.4,3.2,4.5,1.5
36,6.9,3.1,4.9,1.5
37,5.5,2.3,4.0,1.3
38,6.5,2.8,4.6,1.5
39,5.7,2.8,4.5,1.3
40,6.3,3.3,4.7,1.6
41,4.9,2.4,3.3,1.0
42,6.6,2.9,4.6,1.3
43,5.2,2.7,3.9,1.4
44,5.0,2.0,3.5,1.0
45,5.9,3.0,4.2,1.5
46,6.0,2.2,4.0,1.0
47,6.1,2.9,4.7,1.4
48,5.6,2.9,3.6,1.3
49,6.7,3.1,4.4,1.4
50,5.6,3.0,4.5,1.5
51,5.8,2.7,4.1,1.0
52,6.2,2.2,4.5,1.5
53,5.6,2.5,3.9,1.1
54,5.9,3.2,4.8,1.8
55,6.1,2.8,4.0,1.3
56,6.3,2.5,4.9,1.5
57,6.1,2.8,4.7,1.2
58,6.4,2.9,4.3,1.3
59,6.6,3.0,4.4,1.4
60,6.8,2.8,4.8,1.4
61,6.7,3.0,5.0,1.7
62,6.0,2.9,4.5,1.5
63,5.7,2.6,3.5,1.0
64,5.5,2.4,3.8,1.1
65,5.5,2.4,3.7,1.0
66,5.8,2.7,3.9,1.2
67,6.0,2.7,5.1,1.6
68,6.3,3.3,6.0,2.5
69,5.8,2.7,5.1,1.9
70,7.1,3.0,5.9,2.1
71,6.3,2.9,5.6,1.8
72,6.5,3.0,5.8,2.2
73,7.6,3.0,6.6,2.1
74,4.9,2.5,4.5,1.7
75,7.3,2.9,6.3,1.8
76,6.7,2.5,5.8,1.8
77,7.2,3.6,6.1,2.5
78,6.5,3.2,5.1,2.0
79,6.4,2.7,5.3,1.9
80,6.8,3.0,5.5,2.1
81,5.7,2.5,5.0,2.0
82,5.8,2.8,5.1,2.4
83,6.4,3.2,5.3,2.3
84,6.5,3.0,5.5,1.8
85,7.7,3.8,6.7,2.2
86,7.7,2.6,6.9,2.3
87,6.0,2.2,5.0,1.5
88,6.9,3.2,5.7,2.3
89,5.6,2.8,4.9,2.0
90,7.7,2.8,6.7,2.0
91,6.3,2.7,4.9,1.8
92,6.7,3.3,5.7,2.1
93,7.2,3.2,6.0,1.8
94,6.2,2.8,4.8,1.8
95,6.1,3.0,4.9,1.8
96,6.4,2.8,5.6,2.1
97,7.2,3.0,5.8,1.6
98,7.4,2.8,6.1,1.9
99,7.9,3.8,6.4,2.0
100,6.4,2.8,5.6,2.2
101,6.3,2.8,5.1,1.5
