,0,1,2,3
0,5.1,3.5,1.4,0.3
1,5.7,3.8,1.7,0.3
2,5.1,3.8,1.5,0.3
3,5.4,3.4,1.7,0.2
4,5.1,3.7,1.5,0.4
5,4.6,3.6,1.0,0.2
6,5.1,3.3,1.7,0.5
7,4.8,3.4,1.9,0.2
8,5.0,3.0,1.6,0.2
9,5.0,3.4,1.6,0.4
10,5.2,3.5,1.5,0.2
11,5.2,3.4,1.4,0.2
12,4.7,3.2,1.6,0.2
13,4.8,3.1,1.6,0.2
14,5.4,3.4,1.5,0.4
15,5.2,4.1,1.5,0.1
16,5.5,4.2,1.4,0.2
17,4.9,3.1,1.5,0.1
18,5.0,3.2,1.2,0.2
19,5.5,3.5,1.3,0.2
20,4.9,3.1,1.5,0.1
21,4.4,3.0,1.3,0.2
22,5.1,3.4,1.5,0.2
23,5.0,3.5,1.3,0.3
24,4.5,2.3,1.3,0.3
25,4.4,3.2,1.3,0.2
26,5.0,3.5,1.6,0.6
27,5.1,3.8,1.9,0.4
28,4.8,3.0,1.4,0.3
29,5.1,3.8,1.6,0.2
30,4.6,3.2,1.4,0.2
31,5.3,3.7,1.5,0.2
32,5.0,3.3,1.4,0.2
33,5.8,2.7,4.1,1.0
34,6.2,2.2,4.5,1.5
35,5.6,2.5,3.9,1.1
36,5.9,3.2,4.8,1.8
37,6.1,2.8,4.0,1.3
38,6.3,2.5,4.9,1.5
39,6.1,2.8,4.7,1.2
40,6.4,2.9,4.3,1.3
41,6.6,3.0,4.4,1.4
42,6.8,2.8,4.8,1.4
43,6.7,3.0,5.0,1.7
44,6.0,2.9,4.5,1.5
45,5.7,2.6,3.5,1.0
46,5.5,2.4,3.8,1.1
47,5.5,2.4,3.7,1.0
48,5.8,2.7,3.9,1.2
49,6.0,2.7,5.1,1.6
50,5.4,3.0,4.5,1.5
51,6.0,3.4,4.5,1.6
52,6.7,3.1,4.7,1.5
53,6.3,2.3,4.4,1.3
54,5.6,3.0,4.1,1.3
55,5.5,2.5,4.0,1.3
56,5.5,2.6,4.4,1.2
57,6.1,3.0,4.6,1.4
58,5.8,2.6,4.0,1.2
59,5.0,2.3,3.3,1.0
60,5.6,2.7,4.2,1.3
61,5.7,3.0,4.2,1.2
62,5.7,2.9,4.2,1.3
63,6.2,2.9,4.3,1.3
64,5.1,2.5,3.0,1.1
65,5.7,2.8,4.1,1.3
66,7.7,3.8,6.7,2.2
67,7.7,2.6,6.9,2.3
68,6.0,2.2,5.0,1.5
69,6.9,3.2,5.7,2.3
70,5.6,2.8,4.9,2.0
71,7.7,2.8,6.7,2.0
72,6.3,2.7,4.9,1.8
73,6.7,3.3,5.7,2.1
74,7.2,3.2,6.0,1.8
75,6.2,2.8,4.8,1.8
76,6.1,3.0,4.9,1.8
77,6.4,2.8,5.6,2.1
78,7.2,3.0,5.8,1.6
79,7.4,2.8,6.1,1.9
80,7.9,3.8,6.4,2.0
81,6.4,2.8,5.6,2.2
82,6.3,2.8,5.1,1.5
83,6.1,2.6,5.6,1.4
84,7.7,3.0,6.1,2.3
85,6.3,3.4,5.6,2.4
86,6.4,3.1,5.5,1.8
87,6.0,3.0,4.8,1.8
88,6.9,3.1,5.4,2.1
89,6.7,3.1,5.6,2.4
90,6.9,3.1,5.1,2.3
91,5.8,2.7,5.1,1.9
92,6.8,3.2,5.9,2.3
93,6.7,3.3,5.7,2.5
94,6.7,3.0,5.2,2.3
95,6.3,2.5,5.0,1.9
96,6.5,3.0,5.2,2.0
97,6.2,3.4,5.4,2.3
98,5.9,3.0,5.1,1.8
