,0,1,2,3
0,5.1,3.5,1.4,0.2
1,4.9,3.0,1.4,0.2
2,4.7,3.2,1.3,0.2
3,4.6,3.1,1.5,0.2
4,5.0,3.6,1.4,0.2
5,5.4,3.9,1.7,0.4
6,4.6,3.4,1.4,0.3
7,5.0,3.4,1.5,0.2
8,4.4,2.9,1.4,0.2
9,4.9,3.1,1.5,0.1
10,5.4,3.7,1.5,0.2
11,4.8,3.4,1.6,0.2
12,4.8,3.0,1.4,0.1
13,4.3,3.0,1.1,0.1
14,5.8,4.0,1.2,0.2
15,5.7,4.4,1.5,0.4
16,5.4,3.9,1.3,0.4
17,7.0,3.2,4.7,1.4
18,6.4,3.2,4.5,1.5
19,6.9,3.1,4.9,1.5
20,5.5,2.3,4.0,1.3
21,6.5,2.8,4.6,1.5
22,5.7,2.8,4.5,1.3
23,6.3,3.3,4.7,1.6
24,4.9,2.4,3.3,1.0
25,6.6,2.9,4.6,1.3
26,5.2,2.7,3.9,1.4
27,5.0,2.0,3.5,1.0
28,5.9,3.0,4.2,1.5
29,6.0,2.2,4.0,1.0
30,6.1,2.9,4.7,1.4
31,5.6,2.9,3.6,1.3
32,6.7,3.1,4.4,1.4
33,5.6,3.0,4.5,1.5
34,6.3,3.3,6.0,2.5
35,5.8,2.7,5.1,1.9
36,7.1,3.0,5.9,2.1
37,6.3,2.9,5.6,1.8
38,6.5,3.0,5.8,2.2
39,7.6,3.0,6.6,2.1
40,4.9,2.5,4.5,1.7
41,7.3,2.9,6.3,1.8
42,6.7,2.5,5.8,1.8
43,7.2,3.6,6.1,2.5
44,6.5,3.2,5.1,2.0
45,6.4,2.7,5.3,1.9
46,6.8,3.0,5.5,2.1
47,5.7,2.5,5.0,2.0
48,5.8,2.8,5.1,2.4
49,6.4,3.2,5.3,2.3
50,6.5,3.0,5.5,1.8
